"Scientific.Names","Common.Names","Genus","Family","Latitude","Longitude"
"Drosera aliciae","","Drosera","Droseraceae","-34.061245","18.386684"
"Drosera aliciae","","Drosera","Droseraceae","-34.061219","18.386751"
"Drosera aliciae","Shepherds Crook Sundew","Drosera","Droseraceae","-34.06448958","18.39470283"
"Drosera aliciae","","Drosera","Droseraceae","-34.062464","18.394388"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.956852","18.408666"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.962895","18.406697"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.962487","18.406826"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.963603","18.406813"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae","-33.96495486","18.41428329"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.962155","18.412908"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.964571","18.414765"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.964964","18.415606"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.962964","18.415183"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.963411","18.419926"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae","-33.96331332","18.42044935"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.963754","18.420453"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.963819","18.42035"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae","-33.96187339","18.42706553"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.964632","18.429077"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.964932","18.428631"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.968642","18.402442"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.968352","18.401892"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae","-33.96687333","18.40649167"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.967541","18.406263"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.965672","18.407252"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.966422","18.41145"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.969463","18.413225"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.969888","18.414531"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.965405","18.417208"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.965022","18.415814"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.965056","18.415801"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae","-33.96580126","18.42102759"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.969704","18.423935"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.969239","18.424569"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.966717","18.428042"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.96694","18.42785"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.965595","18.428482"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae","-33.97174167","18.39634167"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae","-33.97174167","18.39634167"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.971309","18.395967"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae","-33.97447778","18.4043"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.974476","18.403465"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.974449","18.403897"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae","-33.973305","18.40648833"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.973395","18.405919"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae","-33.97292833","18.41234167"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.972262","18.414734"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.970166","18.412424"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.970055","18.417497"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.972923","18.417235"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.972894","18.417099"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.971064","18.42236"
"Drosera cuneifolia","","Drosera","Droseraceae","-33.97098","18.42223"
"Drosera cuneifolia","Peninsula Sundew","Drosera","Droseraceae","-34.22628333","18.45413056"
"Erica corifolia","","Erica","Ericaceae","-34.054757","18.384116"
"Erica corifolia","","Erica","Ericaceae","-34.053125","18.383989"
"Erica corifolia","","Erica","Ericaceae","-34.05417","18.383505"
"Erica corifolia","","Erica","Ericaceae","-34.056736","18.388592"
"Erica corifolia","","Erica","Ericaceae","-34.055232","18.386494"
"Erica corifolia","","Erica","Ericaceae","-34.055978","18.386233"
"Erica corifolia","","Erica","Ericaceae","-34.058782","18.392376"
"Erica corifolia","","Erica","Ericaceae","-34.057724","18.390902"
"Erica corifolia","","Erica","Ericaceae","-34.057194","18.390021"
"Erica corifolia","","Erica","Ericaceae","-34.066203","18.389653"
"Erica corifolia","","Erica","Ericaceae","-34.067592","18.39378"
"Erica corifolia","","Erica","Ericaceae","-34.068204","18.393956"
"Erica corifolia","","Erica","Ericaceae","-34.068182","18.393825"
"Erica corifolia","","Erica","Ericaceae","-34.072752","18.380069"
"Erica corifolia","","Erica","Ericaceae","-34.070129","18.382084"
"Erica corifolia","","Erica","Ericaceae","-34.070617","18.38325"
"Erica corifolia","","Erica","Ericaceae","-34.073959","18.386939"
"Erica corifolia","","Erica","Ericaceae","-34.071622","18.397455"
"Erica corifolia","","Erica","Ericaceae","-34.070108","18.396726"
"Erica corifolia","","Erica","Ericaceae","-34.073478","18.401947"
"Erica corifolia","","Erica","Ericaceae","-34.073661","18.402028"
"Erica corifolia","","Erica","Ericaceae","-34.073642","18.402042"
"Erica corifolia","","Erica","Ericaceae","-34.075277","18.384957"
"Erica corifolia","","Erica","Ericaceae","-34.076082","18.385893"
"Erica corifolia","","Erica","Ericaceae","-34.076319","18.386967"
"Erica corifolia","","Erica","Ericaceae","-34.076108","18.385955"
"Erica corifolia","","Erica","Ericaceae","-34.082957","18.406693"
"Erica corifolia","","Erica","Ericaceae","-34.082963","18.406639"
"Erica corifolia","","Erica","Ericaceae","-34.082902","18.41495"
"Erica corifolia","","Erica","Ericaceae","-34.084887","18.410951"
"Erica corifolia","","Erica","Ericaceae","-34.084916","18.410923"
"Erica corifolia","","Erica","Ericaceae","-34.089938","18.405192"
"Erica corifolia","","Erica","Ericaceae","-34.088273","18.414414"
"Erica corifolia","","Erica","Ericaceae","-34.086196","18.414168"
"Erica corifolia","","Erica","Ericaceae","-34.085053","18.410235"
"Erica corifolia","","Erica","Ericaceae","-34.088964","18.41632"
"Erica corifolia","","Erica","Ericaceae","-34.086131","18.42412"
"Erica corifolia","","Erica","Ericaceae","-34.089251","18.428948"
"Erica corifolia","","Erica","Ericaceae","-34.088286","18.426722"
"Erica corifolia","","Erica","Ericaceae","-34.088945","18.426279"
"Erica corifolia","","Erica","Ericaceae","-34.089509","18.451574"
"Erica corifolia","","Erica","Ericaceae","-34.090462","18.404519"
"Erica corifolia","Purpletip Heath","Erica","Ericaceae","-34.09329798","18.42370636"
"Erica corifolia","Purpletip Heath","Erica","Ericaceae","-34.09038056","18.42068611"
"Erica corifolia","Purpletip Heath","Erica","Ericaceae","-34.09329798","18.42370636"
