"Scientific Names","Common Names","Genus","Family","Latitude","Longitude","Elevation","Sample Number"
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.20679758,18.44005567,413,7
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.09904261,18.4510196,315,8
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.099252,18.451588,315,9
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.09939164,18.44870553,423,10
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.09889167,18.45143833,315,11
"Erica pyxidiflora","Box Heath","Erica","Ericaceae",-34.07813367,18.3892002,512,12
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.97710408,18.38978291,657,1
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-34.05,18.3833,661,2
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-34.20062416,18.38338029,62,3
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.95660833,18.41472833,439,4
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-34.119327,18.44672739,224,5
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.95526255,18.42235543,363,6
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-34.14762169,18.42702742,151,7
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-34.14364761,18.42644769,151,8
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.95364676,18.42740133,557,9
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.97482745,18.42119295,944,10
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.95068811,18.43241626,557,11
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.95715387,18.42640258,557,12
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.95766375,18.42706685,557,13
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.95054589,18.43221433,557,14
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.95138842,18.43708748,780,15
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-34.04591116,18.36757,222,16
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-34.07615833,18.38724,512,17
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.9773326,18.4192488,648,18
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.97214572,18.41447338,875,19
"Gladiolus carneus","Painted Lady","Gladiolus","Iridaceae",-33.97871728,18.41737164,648,20
"Gladiolus tristis","Marsh Afrikaner","Gladiolus","Iridaceae",-33.952184,18.459373,100,1
"Gladiolus tristis","Marsh Afrikaner","Gladiolus","Iridaceae",-33.952478,18.459014,100,2
"Gladiolus tristis","Marsh Afrikaner","Gladiolus","Iridaceae",-33.952478,18.459014,100,3
"Gladiolus tristis","Marsh Afrikaner","Gladiolus","Iridaceae",-33.95370333,18.44907167,547,4
